"We use cookies to personalize ads and improve your experience on the site. By continuing to browse, you agree to our","Utilizamos cookies para personalizar anúncios e melhorar a sua experiência no site. Ao continuar navegando, você concorda com a nossa"
"Allow Cookies", "Aceitar Cookies"
"Search entire store here...","O que você procura?"
"Default welcome msg!","Bem-vindo(a)"
"Register", "Cadastre-se"
"Enter your e-mail","Digite o seu e-mail"
"Enter your new e-mail","Digite o seu novo e-mail"
"Enter your email to receive the next recovery steps.", "Informe o seu e-mail para receber os próximos passos de recuperação."
"We received too many requests for password resets. Please wait and try again later or contact %1.","Recebemos muitos pedidos de redefinição de senha. Aguarde e tente novamente mais tarde ou entre em contato %1."
"Enter your new password", "Digite sua nova senha"
"Enter your password", "Digite sua senha"
"Enter your password again", "Digite sua senha novamente"
"Enter your new password again", "Digite sua nova senha novamente"
"Enter your actual password", "Digite sua senha atual"
"Password Done", "Concluir"
"Create a new password", "Crie uma nova senha"
"Dont have an account yet?", "Ainda não possui uma conta?"
"Sign up right now and dont miss out on the best products in our store.", "Cadastre-se agora mesmo e não perca os melhores produtos da nossa loja."
"Join Now", "Cadastre-se Já"
"Are you a Legal Entity Rural Producer?", "É Pessoa Jurídica Produtor Rural?"
"Check out Bartofil Wholesale and stay on top of all the exclusive offers that await you.", "Confira o Bartofil Atacado e fique por dentro de todas ofertas exclusivas que esperam por você."
"Go to Bartofil Wholesale", "Ir até o Bartofil Atacado"
"Registered Customers", "Já sou cliente"
"If you have an account, sign in with your email address.", "Entre agora mesmo com seu e-mail e senha."
"Are you a PJ or Rural Producer? get to know Bartofil Wholesale", "É PJ ou Produtor Rural? conheça a Bartofil Atacado"
"Create New Customer Account", "Cadastre-se"
"Sign-in Information","Informações da Conta"
"Tax/VAT Number", "CPF"
"finalize registration", "Finalizar Cadastro"
"Enter your name", "Digite seu nome"
"Enter your surname", "Digite seu sobrenome"
"Newsletter","E-Mail"
"And stay on top of all the news that appears here, it's free! :)","E fique por dentro de todas as novidades que aparecem por aqui, é de graça! :)"
"Subscribe","Assinar Newsletter"
"Sign our Newsletter","Assine Nossa Newsletter"
"Account Information","Meus Dados"
"My Orders","Meus Pedidos"
"Address Book","Meus Endereços"
"My Product Reviews","Meus Comentários"
"My Wish List","Meus Favoritos"
